puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_45_16,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.364512,2.028584,108.60,45,55,0.004744,1.767800,1.772544,N/A,0.580159,0.001889,0.000197,0.002212,0.011809,74.96,N/A,24.54,0.08,0.01,0.09,0.50
inst25x25_45_17,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.288769,1.699176,102.75,40,60,0.004688,1.735316,1.740004,N/A,0.540098,0.001823,0.000080,0.002163,0.008668,76.02,N/A,23.60,0.08,0.00,0.09,0.38
inst25x25_45_18,3,3,3,2,0.9,0.9,0.005,120.0,100.00,1.523805,1.050102,70.19,23,77,0.004747,1.173230,1.177977,N/A,0.340640,0.001212,0.000103,0.001439,0.005188,77.30,N/A,22.35,0.08,0.01,0.09,0.34
inst25x25_45_19,3,3,3,2,0.9,0.9,0.005,120.0,100.00,5.021294,5.083036,240.78,75,25,0.004905,3.392649,3.397554,N/A,1.590232,0.004237,0.000211,0.005043,0.033507,67.66,N/A,31.67,0.08,0.00,0.10,0.67
inst25x25_45_2,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.573981,3.640969,165.05,54,46,0.004678,2.550399,2.555077,N/A,0.970372,0.003036,0.000219,0.003697,0.048532,71.49,N/A,27.15,0.08,0.01,0.10,1.36
inst25x25_45_21,3,3,3,2,0.9,0.9,0.005,120.0,100.00,5.431023,4.171884,239.63,80,20,0.004602,3.753280,3.757882,N/A,1.627502,0.004209,0.000200,0.004945,0.045638,69.19,N/A,29.97,0.08,0.00,0.09,0.84
inst25x25_45_23,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.123736,2.565408,137.48,57,43,0.004657,2.297631,2.302287,N/A,0.806917,0.002396,0.000167,0.002818,0.014532,73.70,N/A,25.83,0.08,0.01,0.09,0.47
inst25x25_45_24,3,3,3,2,0.9,0.9,0.005,120.0,100.00,12.841030,10.599747,605.32,97,3,0.004824,7.213042,7.217866,N/A,5.501329,0.010843,0.000333,0.011970,0.121836,56.21,N/A,42.84,0.08,0.00,0.09,0.95
inst25x25_45_26,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.977410,3.523774,190.89,64,36,0.004816,2.806641,2.811457,N/A,1.141274,0.003324,0.000258,0.004009,0.024679,70.69,N/A,28.69,0.08,0.01,0.10,0.62
inst25x25_45_29,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.125498,2.468102,142.62,58,42,0.004694,2.304213,2.308908,N/A,0.797922,0.002523,0.000146,0.002879,0.018668,73.87,N/A,25.53,0.08,0.00,0.09,0.60
inst25x25_45_3,3,3,3,2,0.9,0.9,0.005,120.0,100.00,4.727318,4.224846,187.57,66,34,0.004921,3.341684,3.346605,N/A,1.323624,0.003828,0.000217,0.005399,0.057089,70.79,N/A,28.00,0.08,0.00,0.11,1.21
inst25x25_45_32,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.034786,1.365310,89.85,38,62,0.004672,1.559748,1.564420,N/A,0.462683,0.001546,0.000125,0.001900,0.007684,76.88,N/A,22.74,0.08,0.01,0.09,0.38
inst25x25_45_33,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.782998,2.059548,131.11,58,42,0.004788,2.076277,2.081065,N/A,0.688992,0.002297,0.000133,0.002729,0.012940,74.78,N/A,24.76,0.08,0.00,0.10,0.46
inst25x25_45_34,3,3,3,2,0.9,0.9,0.005,120.0,100.00,7.182371,6.434309,343.25,79,21,0.004746,4.605705,4.610451,N/A,2.500039,0.006219,0.000252,0.007009,0.071883,64.19,N/A,34.81,0.09,0.00,0.10,1.00
inst25x25_45_35,3,3,3,2,0.9,0.9,0.005,120.0,100.00,10.019945,12.258245,492.80,89,11,0.004807,5.502688,5.507495,N/A,4.389457,0.009024,0.000366,0.009831,0.122993,54.97,N/A,43.81,0.09,0.00,0.10,1.23
