puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_50_34,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.342477,4.920729,141.54,62,38,0.005269,1.486869,1.492137,N/A,0.818673,0.030220,0.001074,0.000944,0.031667,63.70,N/A,34.95,1.29,0.05,0.04,1.35
inst25x25_50_44,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.187043,0.166767,13.94,3,97,0.005162,0.126137,0.131298,N/A,0.055473,0.002437,0.000783,0.000080,0.000270,70.20,N/A,29.66,1.30,0.42,0.04,0.14
inst25x25_50_50,3,3,3,2,0.9,0.9,0.005,120.0,100.00,1.189504,1.484871,74.70,51,49,0.004904,0.860311,0.865215,N/A,0.315988,0.015201,0.000967,0.000526,0.008301,72.74,N/A,26.56,1.28,0.08,0.04,0.70
inst25x25_50_51,3,3,3,2,0.9,0.9,0.005,120.0,98.00,4.929673,13.817072,336.00,75,23,0.005065,2.168520,2.173585,N/A,2.694505,0.070373,0.000945,0.002358,0.061583,44.09,N/A,54.66,1.43,0.02,0.05,1.25
inst25x25_50_57,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.244650,4.275862,149.50,67,33,0.004979,1.413387,1.418366,N/A,0.805223,0.030994,0.000986,0.001048,0.021061,63.19,N/A,35.87,1.38,0.04,0.05,0.94
inst25x25_50_64,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.194836,0.293656,17.85,8,92,0.005471,0.130704,0.136174,N/A,0.058205,0.003399,0.000605,0.000101,0.000456,69.89,N/A,29.87,1.74,0.31,0.05,0.23
inst25x25_50_69,3,3,3,2,0.9,0.9,0.005,120.0,100.00,1.844905,2.277473,144.37,59,41,0.005257,1.263506,1.268763,N/A,0.556593,0.029901,0.001120,0.000793,0.019548,68.77,N/A,30.17,1.62,0.06,0.04,1.06
inst25x25_50_71,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.346070,0.390443,26.00,7,93,0.005053,0.243833,0.248885,N/A,0.095731,0.004942,0.000876,0.000167,0.001454,71.92,N/A,27.66,1.43,0.25,0.05,0.42
inst25x25_50_80,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.230970,0.355073,18.88,3,97,0.005226,0.158258,0.163484,N/A,0.066612,0.003585,0.000632,0.000120,0.000874,70.78,N/A,28.84,1.55,0.27,0.05,0.38
inst25x25_50_82,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.552233,0.737393,43.47,21,79,0.005160,0.386810,0.391971,N/A,0.158021,0.008576,0.000938,0.000244,0.002241,70.98,N/A,28.61,1.55,0.17,0.04,0.41
inst25x25_50_83,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.495839,0.541089,35.19,17,83,0.004962,0.354782,0.359744,N/A,0.132129,0.006902,0.000828,0.000220,0.003966,72.55,N/A,26.65,1.39,0.17,0.04,0.80
inst25x25_50_86,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.383859,0.359524,33.57,13,87,0.005228,0.269029,0.274257,N/A,0.108191,0.006560,0.000798,0.000213,0.001411,71.45,N/A,28.19,1.71,0.21,0.06,0.37
inst25x25_50_9,3,3,3,2,0.9,0.9,0.005,120.0,100.00,1.367034,2.305199,108.87,39,61,0.005287,0.918698,0.923985,N/A,0.420957,0.022386,0.001100,0.000569,0.022092,67.59,N/A,30.79,1.64,0.08,0.04,1.62
inst25x25_50_91,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.796853,10.577262,195.75,19,81,0.005075,1.025363,1.030438,N/A,1.735003,0.040900,0.000762,0.001156,0.031412,36.84,N/A,62.03,1.46,0.03,0.04,1.12
inst25x25_50_92,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.098760,0.038723,9.05,0,100,0.005478,0.061178,0.066656,N/A,0.032104,0.001485,0.000719,0.000049,0.000000,67.49,N/A,32.51,1.50,0.73,0.05,0.00
inst25x25_50_93,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.895867,1.363367,69.76,37,63,0.005232,0.631150,0.636382,N/A,0.250600,0.014250,0.000865,0.000379,0.008885,71.04,N/A,27.97,1.59,0.10,0.04,0.99
inst25x25_50_94,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.814695,7.669428,179.25,43,57,0.004933,1.417044,1.421978,N/A,1.363181,0.037248,0.001029,0.001256,0.029535,50.52,N/A,48.43,1.32,0.04,0.04,1.05
inst25x25_50_99,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.374930,1.574802,30.62,6,94,0.005449,0.231054,0.236503,N/A,0.135766,0.006104,0.000731,0.000168,0.002661,63.08,N/A,36.21,1.63,0.19,0.04,0.71
