"Alg 0 = CP-ACS, Alg 3 = CP-DCM-ACO, Alg 4 = MT-CP-DCM-ACO",,,,,,,,,,,,
,,,,,,,,,,,,
Best ,,,,,,,,,,,,
,,,,,,,,,,,,
Instances,Solution Rate,,,Average Time,,,Standard Deviation,,,Average Iteration,,
inst25x25_50_71,88,100,100,7.008948,1.94233,0.406996,17.853907,6.646084,0.504421,365.39,155.48,29.99
inst25x25_50_80,72,100,100,3.550887,1.243744,0.206039,15.075019,2.419333,0.272636,228.46,111.44,16.4
inst25x25_50_82,86,100,100,3.23421,2.747926,0.474856,7.541639,6.205829,0.441309,196.74,231.2,36.99
inst25x25_50_83,69,97,100,4.39507,2.095322,0.464633,12.187195,4.314868,0.537526,249.58,158.95,32.44
inst25x25_50_86,77,100,100,4.381979,2.628672,0.533925,10.758867,5.624835,0.843451,298.73,248.78,45.35
inst25x25_50_9,77,100,100,18.860822,7.728255,1.155489,24.584129,11.301154,2.219233,1015.56,592.3,90.08
inst25x25_50_91,41,96,100,6.579447,13.112176,0.741563,17.291771,23.082811,1.400815,350.41,1003.79,51.58
inst25x25_50_92,90,100,100,0.738914,0.234289,0.115306,4.422325,0.393633,0.054537,54.31,23.67,10.47
inst25x25_50_93,55,100,100,9.819793,8.923675,1.060622,20.807158,17.280155,2.439358,556.62,749.08,80.88
inst25x25_50_94,58,92,100,10.047482,9.977891,1.619302,19.745674,17.19423,2.752947,499.71,691.95,101.93
inst25x25_50_99,61,100,100,9.556908,3.112964,0.287565,22.460147,7.691159,0.818908,675,275.08,23.62
