puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_50_51,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.275295,5.567435,121.19,64,36,0.005156,2.052219,2.057375,N/A,1.134984,0.039764,0.001218,0.001136,0.082935,62.81,N/A,34.65,1.21,0.04,0.03,2.53
inst25x25_50_57,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.813580,2.064118,66.88,42,58,0.005110,1.292298,1.297408,N/A,0.500980,0.020807,0.001368,0.000601,0.015192,71.54,N/A,27.62,1.15,0.08,0.03,0.84
inst25x25_50_64,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.140013,0.165973,7.15,1,99,0.005485,0.087488,0.092973,N/A,0.047000,0.001718,0.000748,0.000051,0.000040,66.40,N/A,33.57,1.23,0.53,0.04,0.03
inst25x25_50_69,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.439375,1.815600,62.77,33,67,0.005324,1.001564,1.006888,N/A,0.419274,0.019286,0.001441,0.000518,0.013213,69.95,N/A,29.13,1.34,0.10,0.04,0.92
inst25x25_50_71,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.363968,0.222892,15.21,1,99,0.005054,0.254358,0.259411,N/A,0.104285,0.004103,0.001078,0.000117,0.000272,71.27,N/A,28.65,1.13,0.30,0.03,0.07
inst25x25_50_80,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.212816,0.135734,9.73,0,100,0.005261,0.140060,0.145321,N/A,0.067496,0.002468,0.000874,0.000073,0.000000,68.28,N/A,31.72,1.16,0.41,0.03,0.00
inst25x25_50_82,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.447479,0.320766,19.78,5,95,0.005175,0.314651,0.319827,N/A,0.126898,0.005512,0.001169,0.000149,0.000754,71.47,N/A,28.36,1.23,0.26,0.03,0.17
inst25x25_50_83,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.489902,0.489163,19.32,5,95,0.004994,0.350336,0.355330,N/A,0.133837,0.005488,0.001025,0.000160,0.000736,72.53,N/A,27.32,1.12,0.21,0.03,0.15
inst25x25_50_86,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.416405,0.292811,20.21,5,95,0.005277,0.289151,0.294428,N/A,0.121027,0.005673,0.001083,0.000164,0.000950,70.71,N/A,29.06,1.36,0.26,0.04,0.23
inst25x25_50_9,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.782111,1.752430,34.30,14,86,0.005288,0.523021,0.528309,N/A,0.236946,0.010108,0.001525,0.000248,0.016856,67.55,N/A,30.30,1.29,0.19,0.03,2.16
inst25x25_50_91,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.061102,5.737521,38.14,5,95,0.005090,0.499450,0.504540,N/A,0.519338,0.012768,0.001045,0.000307,0.037225,47.55,N/A,48.94,1.20,0.10,0.03,3.51
inst25x25_50_92,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.126403,0.043920,6.63,0,100,0.005426,0.078949,0.084375,N/A,0.042028,0.001542,0.000814,0.000049,0.000000,66.75,N/A,33.25,1.22,0.64,0.04,0.00
inst25x25_50_93,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.621649,0.944660,26.94,12,88,0.005364,0.437226,0.442590,N/A,0.174867,0.007913,0.001207,0.000212,0.004192,71.20,N/A,28.13,1.27,0.19,0.03,0.67
inst25x25_50_94,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.481565,2.914866,51.58,21,79,0.005054,0.981214,0.986267,N/A,0.472177,0.016074,0.001373,0.000399,0.023121,66.57,N/A,31.87,1.08,0.09,0.03,1.56
inst25x25_50_99,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.334162,1.184935,15.14,3,97,0.005322,0.219612,0.224934,N/A,0.107441,0.004337,0.000899,0.000105,0.001786,67.31,N/A,32.15,1.30,0.27,0.03,0.53
