alg,puzzle_size,f%,ants,subcolonies,q0,rho,bve,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm,cp_initial_mean,cp_ant_mean,ant_guessing_mean,coop_game_mean,pheromone_fusion_mean,public_path_mean,communication_time_mean,cp_total_mean,cp_percentage
3,16x16_02280,,3,4,0.9,0.9,0.005,20.0,100.0,0.03254,0.03734,7.24,,,0.000859,0.021851,5.7e-05,0.000393,0.0,3.1e-05,,0.022709999999999998,69.79
3,16x16_02281,,3,4,0.9,0.9,0.005,20.0,100.0,0.02583,0.02592,6.77,,,0.000873,0.017025,4.4e-05,0.000359,0.0,3.1e-05,,0.017897999999999997,69.29
3,16x16_02288,,3,4,0.9,0.9,0.005,20.0,100.0,0.1792,0.22982,44.1,,,0.000848,0.121891,0.000321,0.002324,0.0,0.000148,,0.122739,68.49
3,16x16_02291,,3,4,0.9,0.9,0.005,20.0,100.0,0.01545,0.01249,3.61,,,0.000887,0.009874,2.6e-05,0.000195,0.0,1.8e-05,,0.010761000000000001,69.65
3,16x16_02292,,3,4,0.9,0.9,0.005,20.0,100.0,0.07936,0.13542,19.57,,,0.000901,0.053171,0.000145,0.001047,0.0,7.7e-05,,0.054072,68.14
3,16x16_02297,,3,4,0.9,0.9,0.005,20.0,100.0,0.1131,0.18944,27.39,,,0.000799,0.076127,0.000192,0.001454,0.0,9.1e-05,,0.076926,68.02
3,16x16_02300,,3,4,0.9,0.9,0.005,20.0,100.0,0.02603,0.03836,7.6,,,0.000908,0.016822,4.4e-05,0.000423,0.0,2.7e-05,,0.01773,68.11
3,16x16_02314,,3,4,0.9,0.9,0.005,20.0,100.0,0.07429,0.12531,17.39,,,0.000843,0.050632,0.000116,0.000925,0.0,6e-05,,0.05147500000000001,69.29
3,16x16_02330,,3,4,0.9,0.9,0.005,20.0,100.0,0.02868,0.03227,7.75,,,0.000874,0.018846,5.3e-05,0.000417,0.0,3.3e-05,,0.01972,68.76
3,16x16_02333,,3,4,0.9,0.9,0.005,20.0,100.0,0.01687,0.01081,3.41,,,0.000874,0.010994,2.7e-05,0.000193,0.0,1.8e-05,,0.011868,70.35
